new entry "Target_TouchOfLife"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "No"
data "IsEnemySkill" "No"
data "Ability" "Water"
data "ActionPoints" "4"
data "Cooldown" "4"
data "SkillProperties" "Resurrect,100,20"
data "TargetRadius" "13"
data "AddWeaponRange" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "TargetConditions" "Ally;Dead;NonSummon;!Tagged:BLOCK_RESURRECTION"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_Source_Resurrect"
data "DisplayName" "Target_TouchOfLife_DisplayName"
data "DisplayNameRef" "Touch Of Life"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_soul_01_start"
data "PrepareAnimationLoop" "skill_prepare_soul_01_loop"
data "PrepareEffect" "RS3_FX_Soul_Prepare_Soul_LastRites_Hand_01:Dummy_R_Hand;RS3_FX_Soul_Prepare_Soul_LastRites_Hand_02:Dummy_R_Hand,Dummy_L_Hand;RS3_FX_Soul_Prepare_Soul_LastRites_Hand_Loop_01:Dummy_R_Hand"
data "CastAnimation" "skill_cast_target_soul_01_cast"
data "CastSelfAnimation" "skill_cast_target_soul_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Hand_02:Dummy_L_HandFX;RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Hand_Cast_01:Dummy_L_HandFX:cast;RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Body_01:Dummy_BodyFX:cast"
data "TargetEffect" "RS3_FX_GP_Combat_Resurrect_Generic_01:Dummy_BodyFX"

