new entry "DCCOLD"
type "StatusData"
data "StatusType" "CONSUME"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "DCCOLD_DisplayName"
data "DisplayNameRef" "Freezing Cold"
data "Description" "DCCOLD_Description"
data "DescriptionRef" "It's really cold here..."
data "Icon" "statIcons_Chill"
data "FormatColor" "Water"
data "StatusEffect" "RS3_FX_GP_Status_Chilled_01:Dummy_StatusFX"
data "StatusEffectOverrideForItems" "RS3_FX_GP_Status_Item_Chilled_01"
data "MaterialType" "FadingOverlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "No"
data "MaterialApplyNormalMap" "Yes"
data "MaterialFadeAmount" "3000"
data "SavingThrow" "None"
data "ImmuneFlag" "None"
data "StatsId" "Freezing Cold"
data "StackId" "Stack_Chilled"

